datetime,SOL/USD,BTC/USD
2025-02-21 11:15:00,173.99,98310.88
2025-02-21 11:30:00,174.81,98376.85
2025-02-21 11:45:00,174.75,98230.03
2025-02-21 12:00:00,174.21,97994.68
2025-02-21 12:15:00,174.01,97928.24
2025-02-21 12:30:00,171.3,97126.87
2025-02-21 12:45:00,171.72,96966.86
2025-02-21 13:00:00,172.0,96712.2
2025-02-21 13:15:00,171.5,97079.72
2025-02-21 13:30:00,171.29,96829.66
2025-02-21 13:45:00,171.59,96517.68
2025-02-21 14:00:00,170.5,96555.94
2025-02-21 14:15:00,169.09,95858.08
2025-02-21 14:30:00,168.89,95374.67
2025-02-21 14:45:00,168.37,95232.71
2025-02-21 15:00:00,169.41,95226.45
2025-02-21 15:15:00,169.24,95159.48
2025-02-21 15:30:00,169.4,95279.18
2025-02-21 15:45:00,169.23,94937.7
2025-02-21 16:00:00,168.76,95292.49
2025-02-21 16:15:00,167.19,94986.95
2025-02-21 16:30:00,167.32,95079.96
2025-02-21 16:45:00,167.98,95296.62
2025-02-21 17:00:00,167.54,95453.82
2025-02-21 17:15:00,168.66,95692.62
2025-02-21 17:30:00,167.93,95679.68
2025-02-21 17:45:00,168.69,95773.35
2025-02-21 18:00:00,168.42,95743.26
2025-02-21 18:15:00,168.91,96017.48
2025-02-21 18:30:00,169.18,96127.05
2025-02-21 18:45:00,168.82,96157.03
2025-02-21 19:00:00,168.41,95992.13
2025-02-21 19:15:00,168.77,95801.38
2025-02-21 19:30:00,170.64,96151.66
2025-02-21 19:45:00,170.82,96189.66
2025-02-21 20:00:00,171.67,96265.59
2025-02-21 20:15:00,171.94,96349.91
2025-02-21 20:30:00,172.27,96403.81
2025-02-21 20:45:00,171.85,96235.72
2025-02-21 21:00:00,171.13,96220.9
2025-02-21 21:15:00,170.47,96107.65
2025-02-21 21:30:00,171.3,96435.47
2025-02-21 21:45:00,170.99,96348.5
2025-02-21 22:00:00,170.85,96228.59
2025-02-21 22:15:00,171.16,96311.27
2025-02-21 22:30:00,170.1,96197.16
2025-02-21 22:45:00,170.32,96310.61
2025-02-21 23:00:00,170.55,96448.09
2025-02-21 23:15:00,170.85,96376.34
2025-02-21 23:30:00,171.19,96451.72
2025-02-21 23:45:00,171.6,96404.17
2025-02-22 00:00:00,171.24,96424.7
2025-02-22 00:15:00,171.57,96501.91
2025-02-22 00:30:00,172.24,96528.27
2025-02-22 00:45:00,172.04,96517.67
2025-02-22 01:00:00,171.96,96494.32
2025-02-22 01:15:00,171.24,96441.46
2025-02-22 01:30:00,171.11,96343.7
2025-02-22 01:45:00,171.03,96395.01
2025-02-22 02:00:00,172.01,96401.15
2025-02-22 02:15:00,172.15,96453.76
